id,intent,question,answer
1,waitlist_launch,How do I join the Accesco Living waitlist?,"You can join the waitlist directly from the Accesco Living homepage by entering your details in the ""Get Early Access"" section — it takes less than a minute and secures your spot ahead of launch."
2,waitlist_launch,What do I get for joining the waitlist early?,"Early waitlist members get priority access to the app at launch, along with exclusive launch-day perks and offers across Grokly, Swadisht, and Instastyle."
3,waitlist_launch,"Is Accesco Living live yet, or is it launching soon?","Accesco Living is currently in its pre-launch phase, with the app ""Launching Soon."" Waitlist members will be notified first as soon as the app goes live in their city."
4,waitlist_launch,Is my information safe when I join the waitlist?,Yes. Accesco Living's waitlist sign-up is secure and spam-free — your details are only used to notify you about early access and launch updates.
5,waitlist_launch,Which cities will Accesco Living launch in first?,"Accesco Living is launching first in Bengaluru, Karnataka, with expansion to other Tier 1 and Tier 2 Indian cities planned as part of its growth roadmap."
6,about_brand,How do I download the Accesco Living app?,The Accesco Living app will be available on both Google Play and the App Store at launch. Waitlist members will get a direct download notification first.
7,account_features,Do I need to create an account to browse Accesco Living?,"You'll need to log in or create an account to access personalised features like Xpense Meter, saved carts, and order tracking once the app is live."
8,waitlist_launch,Who can I contact if I have questions about the waitlist or referral program?,"You can reach Accesco Living's support team at support@accescoliving.com, or through the Help & Support page on the website."
9,referral_rewards,Where do I find my referral link?,"Your referral link is available on the ""Refer & Earn"" page once you've joined the waitlist — you can share it directly via WhatsApp, social media, or email."
10,about_brand,Is there a limit to how many people I can refer?,"No. You can refer as many friends and family members as you like, and rewards scale with the number of successful referrals. Source 2: FAQ Content & Schema Markup (Grokly / Circular Commerce)"
11,comparison,"How is Accesco Living different from Zepto, Swiggy, or Myntra?","Those apps solved speed in a single category. Accesco Living solves the whole household — grocery, food, and fashion under one login, with a built-in spend tracker (Xpense Meter) that none of the single-category apps offer."
12,circular_recycle,What does “circular commerce” mean?,"It means every part of the platform feeds back into the household instead of ending at delivery — shared wallet, shared cart logic across verticals, and sourcing built to reduce waste and middlemen, not just move products fast."
13,waitlist_launch,Is Accesco Living live yet?,Accesco Living is in pre-launch. You can join the waitlist now for early access and launch perks when it goes live in Bengaluru.
14,waitlist_launch,Which city is Accesco Living launching in first?,"Bengaluru, Karnataka."
15,grokly_grocery,What is Grokly?,"Grokly is Accesco Living's grocery vertical — fresh produce and everyday essentials delivered in as fast as 11 minutes, sourced directly from Karnataka farms."
16,grokly_grocery,What makes Grokly's sourcing different?,"Grokly sources straight from farms with live QR traceability, so you can see where your produce actually came from, and cuts out middlemen to keep pricing transparent."
17,grokly_grocery,How fast is Grokly delivery?,"As fast as 11 minutes for essentials, depending on your location within the delivery zone."
